Rank,Wallet_Address,Balance_BSV,Percentage_of_Supply
1,1A6ud3LrKkPqkwrbGmxu84YTsaJX51SmW,1927208.44939497,9.18%
2,162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhw,440335.79039746,2.1%
3,1HJyBhsNzmFD7cePZc3kZpc92WvUW9JyEv,315187.18405142,1.5%
4,1JLp73BGTdWAoMsPasJ7k7GuoA9Yq2XFFY,254701.04134941,1.21%
5,1D7c9BTBgo4EDtN4zwYHj9p7hxBiYTuymf,238901.82273701,1.14%
6,1JRFVm3Z5Fpw4Gzx4Uqr4umkXMkkBpdfdT,228550.39743408,1.09%
7,1Ny4qtQkChVnSYYrSDdF38W1XKsS3FjAc5,147602.88721392,0.7%
8,153GYbQtzTXUXpVx5QgSKdDh2ozGPPSWYc,135540.72439801,0.65%
9,13Zp4xBptPZiGDu8Bur3L4F1QK2ZARcpiE,135000.02162439,0.64%
10,1P4t7z8SwnajLpSap3eRpWMXtYBPpnjW9t,125931.82265093,0.6%
11,1FTHjBpyCn6wyh4fjYmn1CS8qWa9eG8gZj,125000.00143837,0.6%
12,1GmVsyUaQ49LNNVyBmwyR4czfqk966MHw8,117376.58203147,0.56%
13,12ov5BL4NbCn8GsdeV6fdPa5HrHGsdAopK,101316.17835743,0.48%
14,1JZzW9L59tHosrdco4zVrLiGV2pD72VUoF,95066.15738416,0.45%
15,1KZrUyqNCWbe9zLixMtjd7XCwb1KtEriHY,89519.93019593,0.43%
16,unknown,87941.6304561,0.42%
17,17cUUeYQ9h5znWryj3iP5qXxQWM5H32F7j,84022.20510617,0.4%
18,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79958.18934401,0.38%
19,1G9NUKpmNfPAu1tnXww5QgTxN5HFZkvd7j,77732.8406499,0.37%
20,1HZiMCBgdn3LYXiMXF5Ty1ggfqzRwHXBh4,74645.78877705,0.36%
21,16kGrfwYJRzJpS7XCnrkBoVLTaPdQaHSuL,73103.4218422,0.35%
22,16vizpkzfz4cU6kZvjM6R8VLyaDagjqda9,72000.4456458,0.34%
23,1F884r9J2WKbu8wekebqqRcu1Bw1jiRXba,69370.20730649,0.33%
