Date,BSV_Price_USD,Network_Difficulty,Block_Reward
2026-01-08,19.54,44.2G,3.125
2026-01-15,19.83,45.1G,3.125
2026-01-22,17.96,46.3G,3.125
2026-01-29,17.21,45.8G,3.125
2026-02-05,16.97,44.5G,3.125
2026-02-12,16.78,45.2G,3.125
2026-02-19,16.24,45.9G,3.125
2026-02-26,16.48,44.8G,3.125
