Rank,Wallet_Address,Balance_BSV,Percentage_of_Supply
68,177K2cm4LSf3dTBqvQvK1svVTLs7VbtRkR,20000.09012043,0.10%
69,1GyQUMfLqoz3fPvE3nRE3o6cNQtirQz7d2,20000.00001094,0.10%
70,1N1NRfypdTFoTr1NoHsuvFUdz4tfiPsuUZ,19644.59662349,0.10%
71,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,19414.42680439,0.10%
72,1AukX7W91NQtvBQNKAWTHpjxkC5kva1U68,19360.01526841,0.10%
73,1KGpRvXsNUSacJjSocRU8U9XeYQ4Hpc7GV,19229,0.10%
74,1MEgvCRGTE6DCdfeDPYpDzPXx9r5Ts4KL9,16186,0.08%
75,1MYWaeGdVCWaYavoa4A2qvyLCMEJXLrPTR,15678.26815118,0.08%
76,17f6mqsKK3j1RvLvbEZ9BMPF8B3uZKc6DH,15018.88272932,0.08%
77,15F2RV5sPURFzjuJgAXN8JLZUZfdZoLF4d,15001.909992,0.08%
78,1BZUdyeTBQCfPzfGGHuJzYHbJENuJKkLHB,15000,0.08%
79,13PEtdjGFVscva6MFrrcQPfBiZbRLw8hE4,14999.99999813,0.08%
80,1ShMZrP92s1bFMfrpTMGFwWYyeX9cG1aN,14967.951,0.07%
81,1KFL2r9QP24m2QCYFXHp7EkfqQt77Teuws,14864.30114209,0.07%
82,1K6vuywoKjUybpBNmVD4W3i8BZdRazfQKm,14560.00134594,0.07%
83,75778cd424b2dd73e880db5716c5258306de780e83444721c471792d4aea1fdf,14035.65274204,0.07%
84,1LgqWeoPVNuwfQCEnwKAPgcWwH74vHDZ5p,13762.90685015,0.07%
85,16r8K5seSjvd8BLY2z1irUDDArxripApD6,13683.615326,0.07%
86,1tUUTafornuPJd8jZMeBR67X4LWUCAgtL,13600.14634544,0.07%
87,1FQeADjkPw8aQd5HbZJ92natK2Qac49oSG,13086.39660266,0.07%
88,1DTNb4aSchpdSjek6EucAfmNYDACUfHFVK,13031.39601,0.07%
89,19BmSJxFFyg2yprYKCuNM6KkfH2fPE1VWK,13000.09999716,0.07%
90,123nUo4Q8nm3QBs6K4NZrPt25iQdWAChtp,12536.59632883,0.06%
91,1FPW2bjNqVbTPoXPtVreWjqKrC4qjajJ5,12441.10827903,0.06%
92,1PsyNJXs5p2G94g42vcDCMGQvhAUCGBSGU,12378.13377673,0.06%
93,1CK9ewuxg7AUirYGvqdbLAb9g4RWPFLaV4,12325.99989742,0.06%
94,18DdYGKsuS8zfG9HErcigyB5i52YGE5jKu,12316.18978428,0.06%
95,1A8b4XRogkBd8jW7y2zdpz7xjTFLgcVUE2,12263.4728667,0.06%
96,1HaXX9uDZTNhEJVT6QGY35Cd6mqms1upnf,12200,0.06%
97,1LiTwSeexn7HjF5MR6ySYD6kGbV13dptJF,12190.78998258,0.06%
98,17UMvuqRg2fBn7eHDBrRqrQu78psgV1Yh8,12169.09577082,0.06%
99,1HAQ6nSR4EhH2739Tij7AzQtQaY6M6HLRS,12074.89015471,0.06%
100,1MZkARhTypiyG138kuLdcjC8EWBjMtraAY,12000.29000768,0.06%
