Rank,Wallet_Address,Balance_BSV,Percentage_of_Supply
1,1A6ud3LrKkPqkwrbGmxu84YTsaJX51SmW,2077996.20096812,9.9%
2,1CTEGabq8pyozXSPdY1LD4e5U97dwKh46w,382512.347072,1.82%
3,162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhw,329609.20947283,1.57%
4,1JLp73BGTdWAoMsPasJ7k7GuoA9Yq2XFFY,260704.08844763,1.24%
5,1D7c9BTBgo4EDtN4zwYHj9p7hxBiYTuymf,238901.822737,1.14%
6,1JRFVm3Z5Fpw4Gzx4Uqr4umkXMkkBpdfdT,227894.96905992,1.09%
7,1A6QakGTRESTadCMGvPfLMiMf7ioVAMbWN,179720.94369861,0.86%
8,1Ny4qtQkChVnSYYrSDdF38W1XKsS3FjAc5,147602.88721391,0.7%
9,153GYbQtzTXUXpVx5QgSKdDh2ozGPPSWYc,135540.724398,0.65%
10,13Zp4xBptPZiGDu8Bur3L4F1QK2ZARcpiE,135000.02162438,0.64%
11,1FTHjBpyCn6wyh4fjYmn1CS8qWa9eG8gZj,125000.00143836,0.6%
12,1GmVsyUaQ49LNNVyBmwyR4czfqk966MHw8,117376.58203146,0.56%
13,1Ne2EYEEnh3NmrZgY8tFTvqm7WJYPirCD,100204.309992,0.48%
14,12ov5BL4NbCn8GsdeV6fdPa5HrHGsdAopK,98207.9253549,0.47%
15,1JZzW9L59tHosrdco4zVrLiGV2pD72VUoF,95066.15738415,0.45%
16,1KZrUyqNCWbe9zLixMtjd7XCwb1KtEriHY,89519.93019592,0.43%
17,unknown,87941.6304561,0.42%
18,17cUUeYQ9h5znWryj3iP5qXxQWM5H32F7j,84022.20510616,0.4%
19,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79958.17240923,0.38%
20,1G9NUKpmNfPAu1tnXww5QgTxN5HFZkvd7j,77732.84064989,0.37%
21,16vizpkzfz4cU6kZvjM6R8VLyaDagjqda9,72000.44564579,0.34%
22,1F884r9J2WKbu8wekebqqRcu1Bw1jiRXba,69370.20730648,0.33%
23,1E1Sx6VtSNrdWEew7q9qpA7zp7zeZoLyk8,68359.04416178,0.33%
24,1Tz3P9kov7bDuVbPFsFrAXd3XooEWoAD8,65868.92925848,0.31%
25,19gP93RHV45PjHMhoKaPXbbQKcVrk3dKZS,65372.36491574,0.31%
26,1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,64085.05945945,0.31%
27,1CKrEPNb9JQzhpynMvpzGRA89DFhEAGR2t,56229.03080987,0.27%
28,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880.05999421,0.26%
29,1FwkaAidQ4tnzFmBfEqbXJU4EzjRNshFT5,53431.00565265,0.25%
30,1KZFSWUz3qSwvYjFiitZre3xZoZ83q6YhT,52951.35887279,0.25%
