Rank,Wallet_Address,Balance_BSV,Percentage_of_Supply
1,1A6ud3LrKkPqkwrbGmxu84YTsaJX51SmW,2095496.20,10.48
2,162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhw,329609.20,1.65
3,1JLp73BGTdWAoMsPasJ7k7GuoA9Yq2XFFY,260722.10,1.30
4,1MgZkbYJsvsgJdTG87SehaqoQCwfvYJjhn,243276.69,1.22
5,1D7c9BTBgo4EDtN4zwYHj9p7hxBiYTuymf,238901.82,1.19
6,1JRFVm3Z5Fpw4Gzx4Uqr4umkXMkkBpdfdT,227894.96,1.14
7,1A6QakGTRESTadCMGvPfLMiMf7ioVAMbWN,189720.94,0.95
8,1Ny4qtQkChVnSYYrSDdF38W1XKsS3FjAc5,147602.88,0.74
9,153GYbQtzTXUXpVx5QgSKdDh2ozGPPSWYc,135540.72,0.68
10,13Zp4xBptPZiGDu8Bur3L4F1QK2ZARcpiE,135000.02,0.68
11,1FTHjBpyCn6wyh4fjYmn1CS8qWa9eG8gZj,125000.00,0.63
12,1GmVsyUaQ49LNNVyBmwyR4czfqk966MHw8,117376.58,0.59
13,1Ne2EYEEnh3NmrZgY8tFTvqm7WJYPirCD,100204.30,0.50
14,1JZzW9L59tHosrdco4zVrLiGV2pD72VUoF,95066.15,0.48
15,12ov5BL4NbCn8GsdeV6fdPa5HrHGsdAopK,91399.61,0.46
16,1KZrUyqNCWbe9zLixMtjd7XCwb1KtEriHY,89519.93,0.45
17,90d10446dbae37be301b001e91e3e00d26e1faaa8dade0f3fd8769ee90752073,87941.63,0.44
18,17cUUeYQ9h5znWryj3iP5qXxQWM5H32F7j,84022.20,0.42
19,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79958.17,0.40
20,1G9NUKpmNfPAu1tnXww5QgTxN5HFZkvd7j,77732.84,0.39
21,16vizpkzfz4cU6kZvjM6R8VLyaDagjqda9,72000.44,0.36
22,1F884r9J2WKbu8wekebqqRcu1Bw1jiRXba,69370.20,0.35
23,1E1Sx6VtSNrdWEew7q9qpA7zp7zeZoLyk8,68359.04,0.34
24,1Tz3P9kov7bDuVbPFsFrAXd3XooEWoAD8,65868.92,0.33
25,19gP93RHV45PjHMhoKaPXbbQKcVrk3dKZS,60872.36,0.30
26,1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,58992.95,0.30
27,1CKrEPNb9JQzhpynMvpzGRA89DFhEAGR2t,56229.03,0.28
28,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880.05,0.27
29,1KZFSWUz3qSwvYjFiitZre3xZoZ83q6YhT,52951.35,0.26
30,1P73ThFNn1N3DJ8B6qJXiRH1xCdTtkGhiJ,48642.57,0.24
31,1EkkGXR7dTbZbrKFKoe6YEP4gj4GzMeKvw,48378.81,0.24
32,1EfBMK9q6rGFZazeF7jyNdTgqGYgcDgRE5,48260.37,0.24
33,13yBADPbx89Lhh8Efh9oixamge5SRfrv1a,45054.44,0.23
34,1HZiMCBgdn3LYXiMXF5Ty1ggfqzRwHXBh4,44071.03,0.22
35,17U86sbWWdPjJcx1ZV2Xp3T1GEoDx7N2p1,42403.35,0.21
36,1GWvf84TUZhJqKvRmv9W3TE4RTyAy4vayo,40221.99,0.20
