Rank,Wallet_Address,Balance_BSV,Percentage_of_Supply
37,193i1r6YXUb9FdhYf5uUXVA6jAu4kU4ARK,37351.92,0.19
38,187xuwUXwVDF8YjZooVVP37xipyA1PmXTu,36350.26,0.18
39,1LjoE5MNviaMwMHgrfV85fHXLjq2RvR3TU,36302.92,0.18
40,16r28es1JDVzuLUeXvXZnFfEBovjiecc6g,36000.39,0.18
41,16RAZ3StAm9FMsynTNu9FgPWncQkWLRZuZ,34915.86,0.17
42,1Az1BAeS8ajeNo5DSf7DKThXqAtfo3gr2u,33669.40,0.17
43,1FQNi6NiaKhymJZdKikjRUYdwcZtcSLxpG,32894.80,0.16
44,157msRqoHYaiUWdWJQv3kkFXJnFDHAULSd,32099.17,0.16
45,16a4nv7DW7vRYZTtKx8tTAWh2ty8jbpXB3,31461.52,0.16
46,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,31000.05,0.16
47,1ETZeQgmSpwXEVGTffcokktJtXtz2bSXsP,30000.00,0.15
48,192vYuwH59M2s48JzvCgoDgXAxyApSXQ24,30000.00,0.15
49,1M6kiiwpJ4KaT9J4uY7ZYEu7k3aE9kmMqP,29999.99,0.15
50,12n6d3JTsYZd2SzXEy2QdazWoejfewJgmj,29999.50,0.15
51,18YnEH5Dg5u9jiS25HSDdgjw5LRm7xUj8Q,29670.00,0.15
52,18gQDkXfWKsLYwzYUY4MXuerRbg4xSmjZ9,29449.99,0.15
53,1JCtg7CEqifVoTjEiCDSAJzqk2AAWsZtY6,29312.07,0.15
54,1JBq1rRQSnMMFR384XLULQtb6boPzsL7fg,28400.31,0.14
55,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,28151.05,0.14
56,1AewEkGS6jc1P8EnBj1Z6v6DiRdjBW5AyP,27735.23,0.14
57,1Gq3orznXD3JPnV6Pi38rAyowNv7895rhe,26410.00,0.13
58,1MggaTm6wHowuQhUbcJMsHKL2jezDPEAiQ,26251.93,0.13
59,16Jyis1XccrJevd4pQynfMRN5E5D5W73ec,24667.76,0.12
60,1GDPLRNtv52qfSBXzm9GpV9hwAswMx3y13,24192.85,0.12
61,14APA9vozSZ6xRpNatyu9942dnQKQ2mpyR,23967.64,0.12
62,184mmRmzfQyGXfPNBHifPai8gg2SQepeVp,23958.68,0.12
63,15DgP51HD7g3DhXxJNncVDAd3dLhpaK1NJ,23431.00,0.12
64,1EMDHSBvzahAGWd6bomSiDDcAgFXWXJz7h,20730.67,0.10
65,1KaHWsFYXQX4x2KNQJVxu3rKnsdH2HErki,20111.00,0.10
66,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,20008.01,0.10
67,16dJJzDtBaaGAqZ9o7upTuwDzELH5PBCMj,20003.71,0.10
68,177K2cm4LSf3dTBqvQvK1svVTLs7VbtRkR,20000.09,0.10
69,1GyQUMfLqoz3fPvE3nRE3o6cNQtirQz7d2,20000.00,0.10
70,1N1NRfypdTFoTr1NoHsuvFUdz4tfiPsuUZ,19644.59,0.10
71,1BA47GLhQZrTtPt21CJ73cY9YSSsCXX7gF,19615.16,0.10
72,1AukX7W91NQtvBQNKAWTHpjxkC5kva1U68,19482.31,0.10
73,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,19414.42,0.10
74,1KGpRvXsNUSacJjSocRU8U9XeYQ4Hpc7GV,19229.00,0.10
75,1MEgvCRGTE6DCdfeDPYpDzPXx9r5Ts4KL9,16186.00,0.08
76,1MYWaeGdVCWaYavoa4A2qvyLCMEJXLrPTR,15678.26,0.08
77,17f6mqsKK3j1RvLvbEZ9BMPF8B3uZKc6DH,15018.88,0.08
78,15F2RV5sPURFzjuJgAXN8JLZUZfdZoLF4d,15001.90,0.08
79,1BZUdyeTBQCfPzfGGHuJzYHbJENuJKkLHB,15000.00,0.08
80,13PEtdjGFVscva6MFrrcQPfBiZbRLw8hE4,14999.99,0.08
81,1ShMZrP92s1bFMfrpTMGFwWYyeX9cG1aN,14967.95,0.07
82,1KFL2r9QP24m2QCYFXHp7EkfqQt77Teuws,14864.30,0.07
83,1K6vuywoKjUybpBNmVD4W3i8BZdRazfQKm,14560.00,0.07
84,75778cd424b2dd73e880db5716c5258306de780e83444721c471792d4aea1fdf,14035.65,0.07
85,1LgqWeoPVNuwfQCEnwKAPgcWwH74vHDZ5p,13762.90,0.07
86,16r8K5seSjvd8BLY2z1irUDDArxripApD6,13683.61,0.07
87,1tUUTafornuPJd8jZMeBR67X4LWUCAgtL,13600.14,0.07
88,1FQeADjkPw8aQd5HbZJ92natK2Qac49oSG,13086.39,0.07
89,1DTNb4aSchpdSjek6EucAfmNYDACUfHFVK,13031.39,0.07
90,19BmSJxFFyg2yprYKCuNM6KkfH2fPE1VWK,13000.09,0.07
91,123nUo4Q8nm3QBs6K4NZrPt25iQdWAChtp,12536.59,0.06
92,1FPW2bjNqVbTPoXPtVreWjqKrC4qjajJ5,12441.10,0.06
93,1CK9ewuxg7AUirYGvqdbLAb9g4RWPFLaV4,12325.99,0.06
94,18DdYGKsuS8zfG9HErcigyB5i52YGE5jKu,12316.18,0.06
95,1A8b4XRogkBd8jW7y2zdpz7xjTFLgcVUE2,12263.47,0.06
96,1HaXX9uDZTNhEJVT6QGY35Cd6mqms1upnf,12200.00,0.06
97,17UMvuqRg2fBn7eHDBrRqrQu78psgV1Yh8,12169.09,0.06
98,1HAQ6nSR4EhH2739Tij7AzQtQaY6M6HLRS,12074.89,0.06
99,1HDZzy8BTTJ5vk7rbH9MmPuvZEuxBtMPSR,12067.08,0.06

100,1MZkARhTypiyG138kuLdcjC8EWBjMtraAY,12000.29,0.06

