Rank,Wallet_Address,Balance_BSV,Percentage_of_Supply
1,1A6ud3LrKkPqkwrbGmxu84YTsaJX51SmW,2133032.99250807,10.16%
2,1CTEGabq8pyozXSPdY1LD4e5U97dwKh46w,372512.347068,1.77%
3,162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhw,266036.41862732,1.27%
4,1JLp73BGTdWAoMsPasJ7k7GuoA9Yq2XFFY,260033.95014913,1.24%
5,1D7c9BTBgo4EDtN4zwYHj9p7hxBiYTuymf,238901.822737,1.14%
6,1JRFVm3Z5Fpw4Gzx4Uqr4umkXMkkBpdfdT,227894.96905992,1.09%
7,1A6QakGTRESTadCMGvPfLMiMf7ioVAMbWN,187517.94367671,0.89%
8,1Ny4qtQkChVnSYYrSDdF38W1XKsS3FjAc5,147602.88721391,0.7%
9,153GYbQtzTXUXpVx5QgSKdDh2ozGPPSWYc,135540.724398,0.65%
10,13Zp4xBptPZiGDu8Bur3L4F1QK2ZARcpiE,135000.02162438,0.64%
11,1FTHjBpyCn6wyh4fjYmn1CS8qWa9eG8gZj,125000.00143836,0.6%
12,1GmVsyUaQ49LNNVyBmwyR4czfqk966MHw8,117376.58203146,0.56%
13,1Ne2EYEEnh3NmrZgY8tFTvqm7WJYPirCD,100204.309992,0.48%
14,1JZzW9L59tHosrdco4zVrLiGV2pD72VUoF,95066.15738415,0.45%
15,12ov5BL4NbCn8GsdeV6fdPa5HrHGsdAopK,89911.49727927,0.43%
16,1KZrUyqNCWbe9zLixMtjd7XCwb1KtEriHY,89519.93019592,0.43%
17,unknown,87941.6304561,0.42%
18,17cUUeYQ9h5znWryj3iP5qXxQWM5H32F7j,84022.20510616,0.4%
19,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79958.17240923,0.38%
20,1G9NUKpmNfPAu1tnXww5QgTxN5HFZkvd7j,77732.84064989,0.37%
21,16vizpkzfz4cU6kZvjM6R8VLyaDagjqda9,72000.44564579,0.34%
22,1F884r9J2WKbu8wekebqqRcu1Bw1jiRXba,69370.20730648,0.33%
23,1E1Sx6VtSNrdWEew7q9qpA7zp7zeZoLyk8,68359.04416178,0.33%
24,1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,68270.51476798,0.33%
25,1Tz3P9kov7bDuVbPFsFrAXd3XooEWoAD8,65868.92925848,0.31%
26,19gP93RHV45PjHMhoKaPXbbQKcVrk3dKZS,65372.36491574,0.31%
27,1CKrEPNb9JQzhpynMvpzGRA89DFhEAGR2t,56229.03080987,0.27%
28,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880.05999421,0.26%
29,1FwkaAidQ4tnzFmBfEqbXJU4EzjRNshFT5,53431.00565265,0.25%
30,1KZFSWUz3qSwvYjFiitZre3xZoZ83q6YhT,52951.35887279,0.25%
31,1P73ThFNn1N3DJ8B6qJXiRH1xCdTtkGhiJ,50863.47010515,0.24%
32,1EkkGXR7dTbZbrKFKoe6YEP4gj4GzMeKvw,48378.81936412,0.23%
33,1EfBMK9q6rGFZazeF7jyNdTgqGYgcDgRE5,48260.37223908,0.23%
34,1HZiMCBgdn3LYXiMXF5Ty1ggfqzRwHXBh4,42570.30039317,0.2%
35,17U86sbWWdPjJcx1ZV2Xp3T1GEoDx7N2p1,42403.3551703,0.2%
36,1GWvf84TUZhJqKvRmv9W3TE4RTyAy4vayo,40221.9999073,0.19%
37,193i1r6YXUb9FdhYf5uUXVA6jAu4kU4ARK,37351.9276,0.18%
38,187xuwUXwVDF8YjZooVVP37xipyA1PmXTu,36350.26899021,0.17%
39,1LjoE5MNviaMwMHgrfV85fHXLjq2RvR3TU,36302.92,0.17%
40,16r28es1JDVzuLUeXvXZnFfEBovjiecc6g,36000.39972758,0.17%
41,13yBADPbx89Lhh8Efh9oixamge5SRfrv1a,35054.440803,0.17%
42,1Az1BAeS8ajeNo5DSf7DKThXqAtfo3gr2u,33669.40692458,0.16%
43,157msRqoHYaiUWdWJQv3kkFXJnFDHAULSd,33077.2591,0.16%
44,1FQNi6NiaKhymJZdKikjRUYdwcZtcSLxpG,32894.80709791,0.16%
45,16a4nv7DW7vRYZTtKx8tTAWh2ty8jbpXB3,31461.52414659,0.15%
46,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,31000.05998245,0.15%
47,192vYuwH59M2s48JzvCgoDgXAxyApSXQ24,30000.0,0.14%
48,1M6kiiwpJ4KaT9J4uY7ZYEu7k3aE9kmMqP,29999.99999934,0.14%
49,12n6d3JTsYZd2SzXEy2QdazWoejfewJgmj,29999.50004056,0.14%
50,18gQDkXfWKsLYwzYUY4MXuerRbg4xSmjZ9,29449.99503829,0.14%
51,1JCtg7CEqifVoTjEiCDSAJzqk2AAWsZtY6,29312.07851073,0.14%
52,1JBq1rRQSnMMFR384XLULQtb6boPzsL7fg,28701.31132017,0.14%
53,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,28151.05351896,0.13%
54,1AewEkGS6jc1P8EnBj1Z6v6DiRdjBW5AyP,27735.233987,0.13%
55,1GDPLRNtv52qfSBXzm9GpV9hwAswMx3y13,26565.63324857,0.13%
56,1MggaTm6wHowuQhUbcJMsHKL2jezDPEAiQ,26251.93254458,0.13%
57,16Jyis1XccrJevd4pQynfMRN5E5D5W73ec,24667.76229829,0.12%
58,14APA9vozSZ6xRpNatyu9942dnQKQ2mpyR,23967.64385596,0.11%
59,184mmRmzfQyGXfPNBHifPai8gg2SQepeVp,23958.68691102,0.11%
60,1EMDHSBvzahAGWd6bomSiDDcAgFXWXJz7h,20740.67986057,0.1%
61,16RAZ3StAm9FMsynTNu9FgPWncQkWLRZuZ,20463.34184533,0.1%
62,1BA47GLhQZrTtPt21CJ73cY9YSSsCXX7gF,20299.49532212,0.1%
63,1KaHWsFYXQX4x2KNQJVxu3rKnsdH2HErki,20111.00000538,0.1%
64,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,20008.01584717,0.1%
65,16dJJzDtBaaGAqZ9o7upTuwDzELH5PBCMj,20003.7192303,0.1%
66,177K2cm4LSf3dTBqvQvK1svVTLs7VbtRkR,20000.09012043,0.1%
67,1GyQUMfLqoz3fPvE3nRE3o6cNQtirQz7d2,20000.00001094,0.1%
