Rank,Wallet_Address,Balance_BSV,Percentage_of_Supply
1,1A6ud3LrKkPqkwrbGmxu84YTsaJX51SmW,2093033.212305,9.97%
2,162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhw,440335.79039745,2.1%
3,1CTEGabq8pyozXSPdY1LD4e5U97dwKh46w,318984.707053,1.52%
4,1JLp73BGTdWAoMsPasJ7k7GuoA9Yq2XFFY,269046.87528981,1.28%
5,1D7c9BTBgo4EDtN4zwYHj9p7hxBiYTuymf,238901.822737,1.14%
6,1JRFVm3Z5Fpw4Gzx4Uqr4umkXMkkBpdfdT,227894.96905992,1.09%
7,1Ny4qtQkChVnSYYrSDdF38W1XKsS3FjAc5,147602.88721391,0.7%
8,153GYbQtzTXUXpVx5QgSKdDh2ozGPPSWYc,135540.724398,0.65%
9,13Zp4xBptPZiGDu8Bur3L4F1QK2ZARcpiE,135000.02162438,0.64%
10,1A6QakGTRESTadCMGvPfLMiMf7ioVAMbWN,132871.94360158,0.63%
11,1FTHjBpyCn6wyh4fjYmn1CS8qWa9eG8gZj,125000.00143836,0.6%
12,1GmVsyUaQ49LNNVyBmwyR4czfqk966MHw8,117376.58203146,0.56%
13,12ov5BL4NbCn8GsdeV6fdPa5HrHGsdAopK,96393.29935144,0.46%
14,1JZzW9L59tHosrdco4zVrLiGV2pD72VUoF,95066.15738415,0.45%
15,1KZrUyqNCWbe9zLixMtjd7XCwb1KtEriHY,89519.93019592,0.43%
16,unknown,87941.6304561,0.42%
17,17cUUeYQ9h5znWryj3iP5qXxQWM5H32F7j,84022.20510616,0.4%
18,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79958.189344,0.38%
19,1G9NUKpmNfPAu1tnXww5QgTxN5HFZkvd7j,77732.84064989,0.37%
20,16vizpkzfz4cU6kZvjM6R8VLyaDagjqda9,72000.44564579,0.34%
21,1F884r9J2WKbu8wekebqqRcu1Bw1jiRXba,69370.20730648,0.33%
22,1E1Sx6VtSNrdWEew7q9qpA7zp7zeZoLyk8,68359.04416178,0.33%
23,1Tz3P9kov7bDuVbPFsFrAXd3XooEWoAD8,65868.92925848,0.31%
24,19gP93RHV45PjHMhoKaPXbbQKcVrk3dKZS,65372.36491574,0.31%
25,1CKrEPNb9JQzhpynMvpzGRA89DFhEAGR2t,56229.03080987,0.27%
26,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880.05999421,0.26%
27,1HZiMCBgdn3LYXiMXF5Ty1ggfqzRwHXBh4,53570.25794393,0.26%
28,1FwkaAidQ4tnzFmBfEqbXJU4EzjRNshFT5,53431.00565265,0.25%
29,1KZFSWUz3qSwvYjFiitZre3xZoZ83q6YhT,52951.35887279,0.25%
30,1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,50054.7858876,0.24%
31,1EkkGXR7dTbZbrKFKoe6YEP4gj4GzMeKvw,48378.81936412,0.23%
32,1EfBMK9q6rGFZazeF7jyNdTgqGYgcDgRE5,48260.37223908,0.23%
33,1MgZkbYJsvsgJdTG87SehaqoQCwfvYJjhn,43620.71212262,0.21%
34,17U86sbWWdPjJcx1ZV2Xp3T1GEoDx7N2p1,42403.3551703,0.2%
35,1P73ThFNn1N3DJ8B6qJXiRH1xCdTtkGhiJ,40842.56788775,0.19%
36,1GWvf84TUZhJqKvRmv9W3TE4RTyAy4vayo,40221.9999073,0.19%
37,193i1r6YXUb9FdhYf5uUXVA6jAu4kU4ARK,37351.9276,0.18%
38,187xuwUXwVDF8YjZooVVP37xipyA1PmXTu,36350.26899021,0.17%
39,1LjoE5MNviaMwMHgrfV85fHXLjq2RvR3TU,36302.92,0.17%
40,16r28es1JDVzuLUeXvXZnFfEBovjiecc6g,36000.39972758,0.17%
41,157msRqoHYaiUWdWJQv3kkFXJnFDHAULSd,35585.7784,0.17%
42,13yBADPbx89Lhh8Efh9oixamge5SRfrv1a,35054.440803,0.17%
43,1GDPLRNtv52qfSBXzm9GpV9hwAswMx3y13,33807.06376083,0.16%
44,1Az1BAeS8ajeNo5DSf7DKThXqAtfo3gr2u,33669.40692458,0.16%
45,1FQNi6NiaKhymJZdKikjRUYdwcZtcSLxpG,32894.80709791,0.16%
46,16a4nv7DW7vRYZTtKx8tTAWh2ty8jbpXB3,31461.52414659,0.15%
47,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,31000.05998245,0.15%
48,1M6kiiwpJ4KaT9J4uY7ZYEu7k3aE9kmMqP,29999.99999934,0.14%
